Type,Group,Drug,DrugName,Protein_ID,Gene,fc,log_pvalue,log_adj.pvalue,rank,total_rank,drug_cv,con_cv,lasso_score,norm_fc_drug,norm_fc_prot,coverage,psm,upep,avg_abund,utoP,ratio_to_total_psm,ratio_to_total_upep,Class,H-Score
lumos,Group 17,Mitoxantrone,Mitoxantrone,P46782,RPS5,-0.720084347,9.012416552,6.236151334,3.575187845,0.997797131,0.039523803,0.034598948,0.0,5.753755841,16.40888552,0.47,38,10,3.398434822,0.263157895,0.892950392,0.887573964,Background,0.970588235
480,Group 17,Mitoxantrone,Mitoxantrone,P46783,RPS10,-0.588004384,8.4704184,6.036204457,4.131490346,0.997051439,0.026426497,0.032977809,0.0,6.645117083,11.67147332,0.49,27,10,3.679614113,0.37037037,0.994271686,0.984682713,Background,0.808823529
480,Group 17,Mitoxantrone,Mitoxantrone,P61247,RPS3A,-0.7541425,10.2085679,7.218051459,3.575187845,0.998806209,0.023980399,0.030229625,0.0,8.716278592,16.64297552,0.7,48,23,4.295836389,0.479166667,0.731707317,0.908691835,Background,0.948529412
480,Group 17,Mitoxantrone,Mitoxantrone,P62081,RPS7,-0.823525661,8.320718923,5.973655155,4.218640521,0.996747005,0.019706663,0.047242788,0.0,9.581244047,17.33745143,0.56,20,9,3.930342734,0.45,0.68597561,0.686440678,Background,0.823529412
480,Group 17,Mitoxantrone,Mitoxantrone,P62241,RPS8,-0.829076325,11.03287027,7.647185611,3.177247836,0.999250888,0.022262911,0.013392412,0.0,9.650441427,16.57794054,0.5,28,11,3.996798334,0.392857143,0.73943662,0.763888889,Background,0.977941176
lumos,Group 17,Mitoxantrone,Mitoxantrone,P62249,RPS16,-1.120301092,9.248789748,6.375614517,3.478277832,0.998063938,0.052536569,0.048553965,0.0,9.373184711,20.82685552,0.58,29,10,3.565074133,0.344827586,0.773104265,0.889328063,Background,0.955882353
480,Group 17,Mitoxantrone,Mitoxantrone,P62266,RPS23,-0.685860966,10.07703709,7.202885011,3.654369091,0.998744638,0.02230594,0.027600905,0.0,7.865046561,15.47947002,0.57,21,9,3.973448836,0.428571429,1.0,1.191176471,Background,0.948529412
480,Group 17,Mitoxantrone,Mitoxantrone,P62269,RPS18,-0.697203803,9.853839789,7.16435334,3.876217841,0.998566767,0.023293519,0.02946852,0.0,8.006452087,14.70559244,0.64,32,15,4.142797599,0.46875,1.044992743,1.08,Background,0.867647059
480,Group 17,Mitoxantrone,Mitoxantrone,P62277,RPS13,-0.491392622,9.537031779,6.926726577,3.955399087,0.99830338,0.026340732,0.023377002,0.0,5.440706159,11.42491804,0.47,15,8,3.799998386,0.533333333,0.741758242,0.891089109,Background,0.801470588
lumos,Group 17,Mitoxantrone,Mitoxantrone,P62424,RPL7A,-0.679303727,7.203477136,4.983514418,4.131490346,0.994239702,0.04595742,0.030108946,0.0,5.384949303,11.10062336,0.2,19,7,3.147367108,0.368421053,0.672711572,0.637777778,Background,0.801470588
480,Group 17,Mitoxantrone,Mitoxantrone,P62701,RPS4X,-0.813322863,11.15308941,7.647185611,2.876217841,0.999329562,0.030927338,0.025766817,0.0,9.454050824,17.00144306,0.67,50,20,4.261589954,0.4,0.873447205,1.118012422,Background,0.985294118
480,Group 17,Mitoxantrone,Mitoxantrone,P62753,RPS6,-0.878416534,10.04727342,7.202885011,3.721315881,0.998720694,0.030064156,0.034702995,0.0,10.26554134,17.77440463,0.44,34,14,4.152485567,0.411764706,0.903187721,1.009615385,Background,0.970588235
480,Group 17,Mitoxantrone,Mitoxantrone,P62847,RPS24,-0.785097248,9.88210181,7.16435334,3.83046035,0.998594132,0.021644611,0.032639922,0.0,9.102176076,16.27183552,0.41,20,7,3.89887047,0.35,1.10974106,1.113074205,Background,0.897058824
480,Group 17,Mitoxantrone,Mitoxantrone,P62851,RPS25,-0.646214836,9.674009257,7.025915494,3.917610526,0.998392316,0.054412181,0.022474754,0.0,7.370797926,12.50825454,0.3,14,5,3.855185887,0.357142857,0.735981308,0.833333333,Background,0.817401961
480,Group 17,Mitoxantrone,Mitoxantrone,P62854,RPS26,-0.612504288,7.687560354,5.482264946,4.353339095,0.995488223,0.036497657,0.041589819,0.0,6.950545243,14.31846591,0.5,9,5,3.559864749,0.555555556,0.783365571,1.0,Background,0.816176471
lumos,Group 17,Mitoxantrone,Mitoxantrone,P63244,RACK1,-0.620127511,8.467634257,5.946641543,3.83046035,0.997048018,0.019371927,0.035519843,0.0,4.849779031,17.00328478,0.81,109,21,3.850198847,0.19266055,1.065609385,0.949748744,Background,0.882352941
480,Group 17,Mitoxantrone,Mitoxantrone,P82675,MRPS5,-0.574571893,8.613503389,6.154465862,4.106666762,0.997287461,0.019905074,0.032071282,0.0,6.477660884,15.57131282,0.27,19,13,3.999145772,0.684210526,1.058168317,1.228991597,Background,0.801470588
480,Group 19,Difelikefalin,Difelikefalin,O43617,TRAPPC3,0.371414793,7.96818528,5.301948184,3.494154594,0.996107352,0.018910629,0.031622159,0.328071466,6.221890788,10.5045687,0.38,15,8,3.61658578,0.533333333,0.758426966,0.952380952,Background,0.985294118
480,Group 19,Difelikefalin,Difelikefalin,O43709,BUD23,0.376455952,5.851872956,3.464389461,3.772908195,0.988130503,0.047938484,0.04598873,0.304252133,6.315092208,8.229545951,0.16,5,4,3.153128594,0.8,0.812274368,1.040462428,Background,0.911764706
480,Group 19,Difelikefalin,Difelikefalin,O75880,SCO1,0.318228509,6.027238671,3.61627408,3.749427099,0.989255882,0.010291416,0.044996053,0.264939273,5.238577817,4.332875819,0.18,7,4,3.461648568,0.571428571,1.181818182,1.238095238,Background,0.904411765
480,Group 19,Difelikefalin,Difelikefalin,O95336,PGLS,0.164988578,7.860034119,5.272978269,3.57333584,0.995912378,0.009369934,0.009537396,0.145156506,2.405463709,7.387827024,0.57,36,11,4.000637944,0.305555556,0.781853282,0.866900175,Background,0.823529412
lumos,Group 19,Difelikefalin,Difelikefalin,P11117,ACP2,0.504247355,5.591755937,2.7547992,3.193124598,0.986314162,0.063117631,0.016336013,0.396968979,6.262848031,12.18300625,0.08,6,3,2.364738555,0.5,0.756446991,0.602739726,Background,0.808823529
480,Group 19,Difelikefalin,Difelikefalin,P16422,EPCAM,0.631336039,13.01742338,9.351186279,2.494154594,0.999709249,0.010116723,0.012553168,0.591311357,11.02733898,20.12439241,0.42,29,13,3.925691031,0.448275862,1.289525692,1.302895323,Background,0.977941176
lumos,Group 19,Difelikefalin,Difelikefalin,P35611,ADD1,0.216302207,5.44653834,2.688762849,3.272305844,0.985164839,0.019565903,0.027700753,0.156280355,2.17402357,6.522903993,0.15,16,7,2.854245297,0.4375,0.755508919,0.581180812,Background,0.816176471
480,Group 19,Difelikefalin,Difelikefalin,P43121,MCAM,0.768643237,11.35633037,7.991123265,2.79518459,0.999380871,0.026612053,0.035741837,0.719760893,13.56588724,14.00779696,0.06,4,4,2.811139152,1.0,0.625954198,0.828282828,Background,0.860294118
480,Group 19,Difelikefalin,Difelikefalin,P47813,EIF1AX,0.25345328,6.772055541,4.281909704,3.670245853,0.992796207,0.041669622,0.020106663,0.22602637,4.041007355,7.25178587,0.45,29,9,4.025432857,0.310344828,1.048192771,1.310679612,Background,0.948529412
480,Group 19,Difelikefalin,Difelikefalin,P48147,PREP,0.176888721,8.366100351,5.654105764,3.448397103,0.996815417,0.007568306,0.012951535,0.158914027,2.625474655,2.553248855,0.4,36,23,4.263701149,0.638888889,0.774378585,0.83805668,Background,0.830882353
480,Group 19,Difelikefalin,Difelikefalin,P48507,GCLM,0.369307129,5.783193703,3.417986602,3.79518459,0.987655039,0.031532285,0.051601045,0.293118204,6.182924101,12.70250914,0.34,19,7,3.858648464,0.368421053,1.132450331,0.882352941,Background,0.919117647
480,Group 19,Difelikefalin,Difelikefalin,P49585,PCYT1A,0.201798674,7.262592653,4.71029891,3.608097946,0.994417574,0.024233724,0.011109504,0.16272998,3.086012181,4.362926585,0.44,29,15,3.983089288,0.517241379,1.104060914,1.015037594,Background,0.860294118
lumos,Group 19,Difelikefalin,Difelikefalin,Q06124,PTPN11,0.225129471,6.810951125,3.275024383,2.494154594,0.992936452,0.016785125,0.024322018,0.195135656,2.299370821,5.350397588,0.17,12,9,3.405098658,0.75,0.789473684,0.870967742,Background,0.875
480,Group 19,Difelikefalin,Difelikefalin,Q13283,G3BP1,0.190116437,6.852076979,4.331967918,3.64028263,0.993063014,0.00799225,0.00537396,0.149556929,2.870029896,3.257575577,0.23,18,9,3.671584718,0.5,0.939675174,1.0,Background,0.838235294
480,Group 19,Difelikefalin,Difelikefalin,Q13616,CUL1,0.210228808,9.037680045,6.1495942,3.272305844,0.997817654,0.017075154,0.011899748,0.196014139,3.241869283,7.471468677,0.26,26,19,4.076199737,0.730769231,0.659898477,0.760676157,Background,0.830882353
480,Group 19,Difelikefalin,Difelikefalin,Q15291,RBBP5,0.391861601,8.412577537,5.654105764,3.397244581,0.996880409,0.040736627,0.024199662,0.365458299,6.599913271,20.21031334,0.34,28,18,3.874365836,0.642857143,0.752688172,0.97708082,Background,0.992647059
480,Group 19,Difelikefalin,Difelikefalin,Q15654,TRIP6,0.196847089,6.206826011,3.771037837,3.724603515,0.99021023,0.01821965,0.020557126,0.147391831,2.994466822,4.853396479,0.48,30,17,3.865719727,0.566666667,0.815217391,1.075949367,Background,0.904411765
480,Group 19,Difelikefalin,Difelikefalin,Q8TC07,TBC1D15,0.373066546,9.058805377,6.1495942,3.193124598,0.997841599,0.01488974,0.026727662,0.346473444,6.252428546,9.287153468,0.3,33,20,3.964672038,0.606060606,1.045774648,1.122194514,Background,1.0
lumos,Group 19,Difelikefalin,Difelikefalin,Q99627,COPS8,0.258765641,5.120248802,2.487412048,3.397244581,0.982048668,0.017741626,0.038028947,0.141434339,2.777004833,7.759093417,0.76,26,7,3.220251957,0.269230769,1.1132255,0.972222222,Background,0.875
480,Group 19,Difelikefalin,Difelikefalin,Q9BTZ2,DHRS4,1.150803799,10.23487436,7.045758515,2.971275849,0.998823312,0.017669336,0.091310965,1.108547497,20.63130729,26.78717677,0.14,5,4,3.503116254,0.8,0.378787879,0.588235294,Background,0.816176471
480,Group 19,Difelikefalin,Difelikefalin,Q9HC35,EML4,0.21313289,7.884326308,5.272978269,3.535547279,0.995946584,0.007210738,0.018551461,0.198470236,3.295560234,12.7203603,0.27,38,25,4.179830317,0.657894737,0.506366598,0.694016039,Background,0.816176471
480,Group 19,Difelikefalin,Difelikefalin,Q9Y3Q8,TSC22D4,0.379687563,9.726678641,6.662501536,3.096214585,0.998440204,0.024235221,0.019924524,0.35509908,6.374838535,10.04091756,0.17,7,5,3.326315375,0.714285714,1.137184116,1.171875,Background,0.985294118
480,Group 2,Pemetrexed,Pemetrexed,O14908,GIPC1,0.187448282,4.533773803,1.948313074,3.677424438,0.972905393,0.028703941,0.024972215,0.128470594,2.821391459,3.752176109,0.21,13,6,3.6349808,0.461538462,1.153846154,0.865384615,Background,0.817401961
480,Group 2,Pemetrexed,Pemetrexed,P16383,GCFC2,0.152933934,5.655271573,2.734018741,3.341632336,0.986765682,0.015269095,0.021007731,0.130036306,2.155306663,4.504766403,0.24,24,17,3.887417546,0.708333333,1.750405186,1.746575342,Background,0.926470588
480,Group 2,Pemetrexed,Pemetrexed,P36639,NUDT1,0.149043247,5.204741583,2.459580011,3.517723595,0.983016699,0.006153098,0.021856555,0.132003588,2.080221151,2.348465971,0.5,19,8,3.732039746,0.421052632,1.264792899,1.184210526,Background,0.852941176
lumos,Group 2,Pemetrexed,Pemetrexed,Q16698,DECR1,0.333464958,6.68000391,3.137676527,2.563481085,0.992399417,0.044793992,0.033514646,0.311167887,5.259939596,7.054910976,0.49,43,15,3.851664927,0.348837209,0.781818182,0.909703504,Background,0.985294118
480,Group 2,Pemetrexed,Pemetrexed,Q6YN16,HSDL2,0.143781123,5.738880732,2.738446654,3.26245109,0.987395073,0.024286684,0.006076444,0.107843134,1.978668584,4.674965831,0.36,24,14,4.151908936,0.583333333,1.058823529,1.055276382,Background,0.882352941
480,Group 2,Pemetrexed,Pemetrexed,Q8TF05,PPP4R1,0.382879946,4.450029755,1.896753708,3.709609121,0.971160885,0.081891302,0.031743595,0.23813684,6.592984112,11.05951542,0.23,20,17,3.82276613,0.85,1.184210526,1.435272045,Background,0.867647059
480,Group 2,Pemetrexed,Pemetrexed,Q96AQ6,PBXIP1,0.216485903,6.916397869,3.518023783,2.864511081,0.993257989,0.003808305,0.018959145,0.108986171,3.381782111,2.914944288,0.06,7,5,3.144729841,0.714285714,1.666666667,1.5625,Background,0.832107843
480,Group 2,Pemetrexed,Pemetrexed,Q99523,SORT1,0.240972005,8.446053293,4.746649211,2.563481085,0.996996709,0.014536343,0.018384453,0.233250537,3.854334007,4.706401914,0.13,14,10,3.465880815,0.714285714,1.155963303,1.229508197,Background,0.904411765
480,Group 2,Pemetrexed,Pemetrexed,Q9H330,TMEM245,0.406673175,6.278166669,3.055883842,3.04060234,0.990596759,0.063306203,0.01907122,0.29949162,7.05216439,5.79499893,0.06,10,6,3.18853477,0.6,1.775700935,1.78125,Background,0.948529412
lumos,Group 2,Pemetrexed,Pemetrexed,Q9HD15,SRA1,0.348631773,3.4809098,0.863681321,3.466571072,0.930513843,0.124385277,0.043739749,0.217367979,5.538754181,9.615667656,0.63,32,11,3.557489156,0.34375,1.28113879,1.12244898,Background,0.845588235
480,Group 2,Ponatinib,Ponatinib,P07948,LYN,0.49068382,6.474719653,3.620413611,3.607776604,0.991585313,0.022259939,0.058357654,0.370362592,7.906887807,7.179540449,0.28,17,10,3.909662985,0.588235294,1.506329114,1.776649746,Target,0.992647059
480,Group 2,Ponatinib,Ponatinib,P12931,SRC,0.38518062,8.510734038,5.413389948,3.364738555,0.997126692,0.014834078,0.012958705,0.354077073,6.052625138,5.487779763,0.2,17,6,3.667597694,0.352941176,1.296610169,1.343283582,Target,0.992647059
lumos,Group 2,Ponatinib,Ponatinib,P27707,DCK,0.585291466,7.353244411,4.509887032,3.461648568,0.994687801,0.05016615,0.02972731,0.44796097,6.774108718,9.79538451,0.4,33,9,3.675365841,0.272727273,1.335431655,1.088709677,Background,0.977941176
lumos,Group 2,Ponatinib,Ponatinib,P41240,CSK,0.936638421,12.97097559,9.428648203,2.762678564,0.999698987,0.015880618,0.037218311,0.884125518,11.38233991,16.17951755,0.31,13,11,3.420261133,0.846153846,1.634078212,1.847014925,Background,0.970588235
480,Group 2,Ponatinib,Ponatinib,P45984,MAPK9,0.346315782,6.633388902,3.712136071,3.540829814,0.992238649,0.044991268,0.030180955,0.256761931,5.369559432,5.888590861,0.27,15,6,3.780713254,0.4,1.684491979,1.726027397,Background,0.955882353
480,Group 2,Ponatinib,Ponatinib,Q08345,DDR1,0.468256617,7.708359483,4.707925406,3.461648568,0.995570317,0.026784528,0.043507432,0.329211327,7.512720385,9.315185526,0.1,11,8,3.137781232,0.727272727,1.756653992,1.6,Background,0.933823529
lumos,Group 2,Ponatinib,Ponatinib,Q13043,STK4,0.499186819,7.616566458,4.676299066,3.364738555,0.995330875,0.042002513,0.037010909,0.410583935,5.644768869,6.020540295,0.12,8,5,3.207135976,0.625,1.065088757,1.814516129,Background,0.985294118
480,Group 2,Ponatinib,Ponatinib,Q16539,MAPK14,1.435638637,13.49018462,9.790780538,2.762678564,0.99977082,0.026475179,0.015841254,1.414569763,24.51486216,10.77486128,0.34,16,10,3.787371906,0.625,1.172638436,1.209677419,Background,0.985294118
lumos,Group 2,Ponatinib,Ponatinib,Q96IZ0,PAWR,0.362390705,5.166110066,2.702963929,3.84185981,0.98256518,0.071984731,0.045391,0.323527092,3.850564842,6.801387591,0.31,11,7,2.858416878,0.636363636,1.262755102,1.225680934,Background,0.808823529
lumos,Group 2,Ponatinib,Ponatinib,Q96SB4,SRPK1,0.36010155,6.251093108,3.499854111,3.540829814,0.99043257,0.02430117,0.038842115,0.254713327,3.82054052,4.049637142,0.08,7,5,3.127428778,0.714285714,1.854700855,2.384615385,Background,0.845588235
480,Group 2,Ponatinib,Ponatinib,Q9NYL2,MAP3K20,0.597484453,10.91903926,7.520665176,3.063708559,0.999196158,0.023189337,0.028215963,0.512028708,9.783953398,6.191427973,0.07,6,5,3.176857836,0.833333333,1.597122302,1.554621849,Background,0.977941176
lumos,Group 2,Ponatinib,Ponatinib,Q9Y6E0,STK24,-0.331475794,5.938154401,3.298917005,3.665768551,0.988674379,0.036076863,0.034586046,0.0,3.445087989,5.205672266,0.26,21,6,3.032014034,0.285714286,1.681494662,1.232876712,Background,0.801470588
480,Group 2,Telaprevir,Telaprevir,O43464,HTRA2,-0.3488738,9.484929049,6.262646222,2.965671971,0.998255492,0.021111484,0.017152611,0.0,7.037929385,6.589078226,0.26,11,8,3.343182032,0.727272727,1.059957173,1.208053691,Background,0.941176471
lumos,Group 2,Telaprevir,Telaprevir,P07858,CTSB,0.415529383,6.434233366,3.369027238,2.965671971,0.99134245,0.020856317,0.056748234,0.401354591,6.02496716,10.84146103,0.14,12,5,3.235717778,0.416666667,0.628637951,0.673652695,Background,0.911764706
480,Group 2,Telaprevir,Telaprevir,P10619,CTSA,0.235137701,5.412977071,2.616662976,3.391640703,0.984898032,0.031753399,0.011278867,0.182425158,4.463725741,5.722629445,0.18,16,8,3.944635635,0.5,0.979591837,1.052631579,Background,0.926470588
480,Group 2,Telaprevir,Telaprevir,P11021,HSPA5,0.151688423,5.309380877,2.564219305,3.442793226,0.983967627,0.011028958,0.022335732,0.132774072,2.575007578,7.342932575,0.69,353,61,4.970133862,0.172804533,1.012751036,1.009562339,Background,0.904411765
480,Group 2,Telaprevir,Telaprevir,P38646,HSPA9,0.115127852,5.502909866,2.648603824,3.333648757,0.985643724,0.013264004,0.013048789,0.082433839,1.747527512,4.911644183,0.69,335,61,4.94451771,0.182089552,1.068012752,1.024636058,Background,0.830882353
480,Group 2,Telaprevir,Telaprevir,P42785,PRCP,0.338989751,6.081852573,2.984508483,3.090610708,0.989573998,0.013118842,0.045511475,0.260726591,6.814222439,9.499901364,0.17,12,9,3.580970569,0.75,0.598006645,0.865384615,Background,0.948529412
lumos,Group 2,Telaprevir,Telaprevir,P48147,PREP,1.056440054,13.60615622,10.06382884,2.488550717,0.999801605,0.016500354,0.036766758,0.997509692,16.6662924,19.10515067,0.37,44,21,4.014463833,0.477272727,1.126279863,0.967246673,Background,1.0
480,Group 2,Telaprevir,Telaprevir,P49588,AARS1,0.371678133,10.11784799,6.719473901,2.789580712,0.998765162,0.01494896,0.019561486,0.333043076,7.554062761,14.19960263,0.58,173,54,4.764201546,0.312138728,0.850076436,0.928899083,Background,0.977941176
480,Group 2,Telaprevir,Telaprevir,Q04759,PRKCQ,0.435426071,5.862883416,2.862449339,3.187520721,0.988202336,0.029534562,0.042631157,0.23969006,8.996877998,2.44028774,0.06,10,2,2.053654558,0.2,1.25,1.24137931,Background,0.801470588
480,Group 2,Telaprevir,Telaprevir,Q8N0U8,VKORC1L1,0.383520592,5.22784752,2.528443438,3.488550717,0.983225356,0.031424109,0.05478954,0.226561031,7.822094668,2.996786366,0.15,7,3,3.28047593,0.428571429,1.75,1.480519481,Background,0.919117647
lumos,Group 20,Goserelin (acetate),Goserelin,O43583,DENR,0.277201669,4.804797161,2.16643272,3.093421685,0.977793437,0.043330571,0.036755945,0.197865312,4.624053511,10.25262219,0.42,13,6,3.254970807,0.461538462,0.732165207,0.954063604,Background,0.911764706
lumos,Group 20,Goserelin (acetate),Goserelin,O60921,HUS1,0.475552304,7.301998677,4.061574244,2.491361694,0.994540715,0.043386523,0.03953443,0.397088957,8.473107518,7.229588734,0.06,3,2,2.935104021,0.666666667,1.428571429,1.224489796,Background,0.867647059
lumos,Group 20,Goserelin (acetate),Goserelin,P13995,MTHFD2,0.214868042,3.968026545,1.467964802,3.231724383,0.957037209,0.00944108,0.046537212,0.174497652,3.414450659,3.01340804,0.32,21,9,3.997567667,0.428571429,1.298076923,1.088709677,Background,0.860294118
lumos,Group 20,Goserelin (acetate),Goserelin,P25205,MCM3,0.13027175,4.923664593,2.170522469,2.968482949,0.979602936,0.003803354,0.023056034,0.116674049,1.772834048,3.947829596,0.47,102,35,4.44218962,0.343137255,1.111111111,0.962713936,Background,0.882352941
480,Group 20,Goserelin (acetate),Goserelin,P35790,CHKA,0.513946258,5.730166666,2.568798664,2.667452953,0.987330081,0.086149727,0.040685437,0.391190345,9.305761884,9.197386344,0.14,6,5,3.074523888,0.833333333,1.05,1.135135135,Background,0.985294118
480,Group 20,Goserelin (acetate),Goserelin,P48059,LIMS1,0.159567738,4.413201114,1.619809897,3.035429738,0.970353622,0.022977279,0.022052348,0.108213238,2.398444094,2.898721496,0.38,26,12,3.990980054,0.461538462,1.138132296,0.950704225,Background,0.919117647
480,Group 20,Goserelin (acetate),Goserelin,P51991,HNRNPA3,0.353450121,7.217162303,3.578673046,2.190331698,0.99428417,0.024399728,0.032646754,0.307694759,6.177474575,7.52741731,0.29,18,8,3.796782412,0.444444444,1.179039301,1.24567474,Background,0.992647059
lumos,Group 20,Goserelin (acetate),Goserelin,P55786,NPEPPS,0.265054449,6.40926519,3.344932016,2.667452953,0.991253515,0.018131415,0.020070902,0.241785284,4.38833305,1.67243596,0.56,121,45,4.643371732,0.371900826,0.983206934,1.078849227,Background,0.897058824
lumos,Group 20,Goserelin (acetate),Goserelin,P59998,ARPC4,0.121204512,4.866878857,2.170522469,3.035429738,0.978761468,0.016564667,0.012706444,0.089227809,1.596881551,3.970417788,0.62,42,9,4.003025158,0.214285714,0.953101362,0.861702128,Background,0.816176471
lumos,Group 20,Goserelin (acetate),Goserelin,Q99700,ATXN2,0.382302238,6.137288143,3.197893705,2.792391689,0.989840805,0.060567602,0.024139325,0.280850856,6.663561812,9.472302047,0.11,17,10,3.143233455,0.588235294,0.964691047,1.226158038,Background,0.977941176
480,Group 20,Goserelin (acetate),Goserelin,Q9BW85,YJU2,0.244852041,4.819765886,1.959427879,2.968482949,0.978029458,0.029148097,0.042506226,0.193239211,4.060750775,5.39712039,0.35,18,10,3.70376841,0.555555556,1.232876712,1.14213198,Background,0.911764706
lumos,Group 20,Goserelin (acetate),Goserelin,Q9UIA9,XPO7,0.545174678,9.053771397,5.512316968,2.190331698,0.997838178,0.011593684,0.032254342,0.439605468,9.824150718,10.05474872,0.28,43,24,3.919436368,0.558139535,0.628246753,0.784313725,Background,0.963235294
480,Group 20,Maytansine,Maytansine,P04350,TUBB4A,0.671101643,13.38589364,10.04843438,2.444044796,0.999767399,0.013565702,0.007760938,0.634074608,12.66982536,12.82885077,0.77,262,3,3.593629378,0.011450382,1.299173554,1.173913043,Background,0.941176471
lumos,Group 20,Maytansine,Maytansine,P07437,TUBB,0.413778269,11.93051013,8.690085701,2.444044796,0.999538218,0.012283936,0.007067357,0.386563597,7.12029314,11.81931303,0.75,449,7,5.195623636,0.0155902,1.256373585,1.225680934,Background,0.926470588
480,Group 20,Maytansine,Maytansine,P68366,TUBA4A,0.214718494,4.733211105,2.136114533,3.184407485,0.976630431,0.039303812,0.025920979,0.125168001,3.568326945,5.653916081,0.56,230,8,4.36589588,0.034782609,1.312618897,1.176470588,Background,0.904411765
480,Group 20,Maytansine,Maytansine,P68371,TUBB4B,0.398369766,11.82043447,8.659066468,2.620136055,0.999504012,0.019834581,0.009912075,0.360684828,7.23082361,12.52294885,0.78,326,2,5.34881909,0.006134969,1.292966684,1.0,Background,0.933823529
480,Group 20,Maytansine,Maytansine,Q13509,TUBB3,0.174832925,6.493604885,3.633266879,2.921166051,0.991657146,0.013661441,0.01889617,0.169288541,2.772902226,7.256360065,0.69,181,8,4.168146724,0.044198895,1.23878327,1.002785515,Background,0.955882353
480,Group 20,Maytansine,Maytansine,Q13885,TUBB2A,0.470833242,10.0322943,6.995865035,2.745074792,0.99870017,0.015843943,0.018275653,0.423954807,8.675938777,13.37427152,0.7,266,1,3.920214665,0.003759398,1.258249803,0.626865672,Background,0.948529412
lumos,Group 20,Maytansine,Maytansine,Q71U36,TUBA1A,0.17983047,3.581188543,1.099237526,3.184407485,0.937303743,0.047409191,0.022135778,0.100554104,2.671354824,4.803231992,0.81,396,1,3.779686659,0.002525253,1.102274535,0.875,Background,0.852941176
lumos,Group 20,Maytansine,Maytansine,Q9BQE3,TUBA1C,0.21296971,8.814768801,5.972284377,2.841984805,0.997602156,0.014533469,0.013462416,0.205090229,3.301557092,5.408814439,0.86,380,3,5.102106489,0.007894737,1.208139042,0.68877551,Background,0.875
480,Group 20,Maytansine,Maytansine,Q9BUF5,TUBB6,0.946149376,13.88741147,10.24892221,2.1430148,0.999846073,0.010804157,0.031525735,0.855103339,18.15501145,19.33820886,0.65,97,8,3.864561509,0.082474227,1.262655482,1.38996139,Background,1.0
480,Group 20,Maytansine,Maytansine,Q9BVA1,TUBB2B,0.22415733,5.170023036,2.531533779,3.1430148,0.982602806,0.012638313,0.032092224,0.145754045,3.756562541,4.558132755,0.7,267,1,3.176539798,0.003745318,1.25395189,0.773584906,Background,0.889705882
lumos,Group 24,Opicapone,Opicapone,O43708,GSTZ1,0.715421982,10.64661797,7.5719234,3.183839037,0.999049072,0.020037805,0.02677779,0.604038854,9.899609605,9.519853712,0.38,14,7,3.451985889,0.5,1.304347826,1.307053942,Background,1.0
lumos,Group 24,Opicapone,Opicapone,P00367,GLUD1,-0.260196151,6.878740561,4.105075989,3.484869033,0.993131426,0.025717363,0.0150819,0.0,3.048928668,3.616657905,0.46,110,27,4.386291132,0.245454545,1.472337894,1.132339236,Background,0.882352941
lumos,Group 24,Opicapone,Opicapone,P09211,GSTP1,0.315703212,5.939229685,3.341656372,3.660960292,0.98868122,0.008859255,0.041851061,0.252905302,3.884252899,5.740695006,0.65,82,13,4.448695501,0.158536585,1.060040218,0.940514469,Background,0.919117647
480,Group 24,Opicapone,Opicapone,P21399,ACO1,-0.197677804,8.294385615,5.253783275,3.308777774,0.996726482,0.009270286,0.013535894,0.0,1.930979836,4.42405907,0.47,66,37,4.526471743,0.560606061,1.083941606,1.127285037,Background,0.860294118
lumos,Group 24,Opicapone,Opicapone,P21964,COMT,0.626685961,11.01888258,7.768096754,3.007747778,0.999244046,0.035085044,0.023903147,0.623265852,8.564223688,15.32372993,0.7,54,18,4.062910871,0.333333333,1.220492215,1.263650546,Target,1.0
lumos,Group 24,Opicapone,Opicapone,P22830,FECH,0.590031741,10.11263836,7.162882528,3.308777774,0.998761741,0.045683923,0.019310655,0.56629758,8.012615341,4.100680373,0.49,24,16,3.712611825,0.666666667,1.495844875,1.655172414,Background,0.985294118
480,Group 24,Opicapone,Opicapone,P62330,ARF6,-0.374345697,6.75308324,4.013510896,3.609807769,0.992741478,0.005088675,0.034052843,0.0,4.33060403,7.341258881,0.35,11,5,3.823611147,0.454545455,1.042105263,1.041666667,Background,0.942401961
480,Group 24,Opicapone,Opicapone,Q02252,ALDH6A1,0.239927774,6.472925819,3.909444734,3.785899028,0.991571631,0.033680712,0.014703687,0.178883766,2.504847832,4.233888499,0.4,28,17,4.219901357,0.607142857,1.175373134,1.145209581,Background,0.816176471
lumos,Group 24,Opicapone,Opicapone,Q08257,CRYZ,0.189603955,6.522766323,3.816048541,3.551815822,0.991821335,0.010623118,0.012826591,0.169573403,1.986588667,5.285001007,0.74,66,18,4.200706895,0.272727273,1.076867295,0.995085995,Background,0.875
480,Group 24,Opicapone,Opicapone,Q8N8N7,PTGR2,0.500455363,10.37508142,7.033449084,3.007747778,0.998912248,0.029596601,0.021727223,0.484873677,6.043511805,12.60542718,0.25,14,8,3.907808924,0.571428571,1.496437055,1.294964029,Background,1.0
