Type,Group,Drug,Protein_ID,Gene,fc,log_pvalue,log_adj.pvalue,rank,total_rank,drug_cv,con_cv,lasso_score,norm_fc_drug,norm_fc_prot,coverage,psm,upep,avg_abund,utoP,ratio_to_total_psm,ratio_to_total_upep,Class,H-Score,DrugName
480,Group 43,Chenodeoxycholic Acid,P29373,CRABP2,0.353240418,8.276852926,4.578926481,2.290034611,0.996705958,0.03486077,0.015173614,0.272934803,7.65143859,2.648324648,0.82,49,13,4.239923563,0.265306122,1.259280411,1.1121673,Background,0.985294118,Chenodeoxycholic Acid
480,Group 37,Chlorambucil,P29373,CRABP2,0.171186654,4.291885418,1.492803455,3.390228362,0.967411902,0.015383914,0.029141342,0.072614579,2.366115434,0.942820919,0.82,38,12,4.310355514,0.315789474,0.976584809,1.02661597,Background,0.801470588,Chlorambucil
lumos,Group 46,Cholic acid (sodium),P29373,CRABP2,0.429479829,10.12083344,6.471498583,2.959994838,0.998768582,0.032561068,0.015269906,0.414207329,5.339095652,3.561178823,0.81,67,11,3.740615296,0.164179104,1.333480761,1.059957173,Background,0.970588235,Cholic acid
480,Group 34,Deoxycholic acid sodium salt,P29373,CRABP2,0.561139744,7.843182603,4.157351328,2.419955748,0.995857648,0.035813907,0.024163341,0.334867005,10.43124967,4.59595303,0.86,43,12,4.254947869,0.279069767,1.10508281,1.02661597,Background,1,Deoxycholic acid sodium salt
480,Group 4,Epristeride,P29373,CRABP2,0.527030858,3.551085241,0.659454876,2.921166051,0.935405307,0.044778921,0.125971232,0.2984127,10.96622676,4.27641647,0.8,39,12,4.064272626,0.307692308,1.002284409,1.02661597,Background,0.875,Epristeride
lumos,Group 20,Estrone sulfate (potassium),P29373,CRABP2,0.300271916,7.05123367,3.509779241,2.06069784,0.993733453,0.038022091,0.017501624,0.250257718,5.077714534,2.297136147,0.75,52,9,4.11036914,0.173076923,1.034940292,0.867237687,Background,0.941176471,Estrone
lumos,Group 49,Estropipate,P29373,CRABP2,0.561653142,12.80741008,9.23756818,2.240549248,0.99966136,0.021685823,0.01207111,0.509829582,8.996148127,4.854232049,0.7,54,7,3.576761618,0.12962963,1.074745688,0.674518201,Background,0.941176471,Estropipate
480,Group 1,Febuxostat,P29373,CRABP2,0.913666984,15.58161526,11.98988302,2.217483944,0.999948691,0.012060625,0.02040572,0.869117909,14.05929163,7.898474825,0.72,32,8,3.992118122,0.25,0.822387207,0.684410646,Background,0.970588235,Febuxostat
lumos,Group 41,Fenbufen,P29373,CRABP2,0.360962888,8.046581984,4.439234208,2.45331834,0.996257859,0.008275729,0.022678561,0.341965798,4.927330453,2.890876706,0.69,28,8,3.471636369,0.285714286,0.557275542,0.770877944,Background,0.882352941,Fenbufen
480,Group 26,Fumagillin,P29373,CRABP2,0.258813379,3.918930555,1.433871957,3.654657755,0.954950641,0.037855062,0.041032237,0.104666417,4.212679765,1.763719666,0.79,44,9,4.48479508,0.204545455,1.13078241,0.769961977,Background,0.823529412,Fumagillin
lumos,Group 36,Hyodeoxycholic acid,P29373,CRABP2,0.495068931,8.422442972,5.092232188,2.660865478,0.996918035,0.037068722,0.022594151,0.257975376,8.101791408,4.202837855,0.82,49,13,4.173490751,0.265306122,0.975232198,1.25267666,Background,0.992647059,Hyodeoxycholic acid
480,Group 22,Lubiprostone,P29373,CRABP2,0.302012793,3.675213501,1.181036198,3.705007959,0.943084564,0.01094958,0.075231421,0.315512267,4.352060767,2.168417489,0.82,45,14,4.251922791,0.311111111,1.15648201,1.197718631,Background,0.860294118,Lubiprostone
480,Group 29,Merbromin,P29373,CRABP2,0.440153874,5.899963962,2.780928136,3.02489596,0.988434937,0.06630154,0.050714445,0.384418163,5.715935964,3.462541397,0.41,13,5,3.226187323,0.384615385,0.334094803,0.427756654,Background,0.823529412,Merbromin
480,Group 16,Methylprednisolone succinate,P29373,CRABP2,0.713454447,4.013518357,1.040667801,3.108903128,0.958867233,0.058627307,0.134909967,0.244853423,11.75097826,6.022857304,0.81,54,12,3.979382182,0.222222222,1.387778412,1.02661597,Background,0.926470588,Methylprednisolone succinate
lumos,Group 8,Olmesartan,P29373,CRABP2,0.183951793,5.759932023,2.663369585,3.039414119,0.987514794,0.008310791,0.022272739,0.121740819,2.444399397,1.15917488,0.86,78,12,4.351693903,0.153846154,1.552410438,1.156316916,Background,0.838235294,Olmesartan
lumos,Group 34,Peretinoin,P29373,CRABP2,0.303790395,3.628940747,0.842488454,3.196452542,0.940365184,0.060032331,0.062584864,0,5.39179603,2.331557469,0.81,65,12,4.222907571,0.184615385,1.293675365,1.156316916,Background,0.816176471,Peretinoin
lumos,Group 2,Pioglitazone,P29373,CRABP2,0.435829605,4.577864278,1.938626883,3.172602931,0.9737366,0.048641777,0.061489774,0.309884611,7.996093449,3.623298761,0.78,85,11,4.1926232,0.129411765,1.691729323,1.059957173,Background,0.955882353,Pioglitazone
lumos,Group 40,Prednisolone (hemisuccinate),P29373,CRABP2,0.485434214,9.587628102,6.009218132,2.093421685,0.998344427,0.02789297,0.027680087,0.446920651,10.99369132,4.108581291,0.86,64,14,3.953827319,0.21875,1.273772667,1.349036403,Background,1,Prednisolone
lumos,Group 36,Rosiglitazone,P29373,CRABP2,0.541433115,7.247408511,3.616167731,2.553883027,0.994373106,0.053300311,0.022594151,0.243471021,6.922481757,4.656419263,0.82,49,13,4.173490751,0.265306122,0.975232198,1.25267666,Background,0.992647059,Rosiglitazone
480,Group 15,Seratrodast,P29373,CRABP2,0.529763396,7.897929677,4.515732466,2.823474229,0.995960266,0.03203248,0.043915468,0.39464,8.868311733,4.302015253,0.81,50,13,4.10335894,0.26,1.284980011,1.1121673,Background,0.992647059,Seratrodast
lumos,Group 2,Tafamidis meglumine,P29373,CRABP2,0.332660485,4.136509128,1.071303,2.689308859,0.962845396,0.049483428,0.061489774,0.259907556,5.406500253,2.613993935,0.78,85,11,4.1926232,0.129411765,1.691729323,1.059957173,Background,0.889705882,Tafamidis
480,Group 22,Toltrazuril,P29373,CRABP2,0.362255299,4.16492439,1.169376941,3.130333768,0.963755276,0.018787754,0.075231421,0.367151087,5.768363821,2.732777252,0.82,45,14,4.251922791,0.311111111,1.15648201,1.197718631,Background,0.911764706,Toltrazuril
lumos,Group 17,Azilsartan,Q08257,CRYZ,0.259884751,5.668244163,2.789941615,2.900367129,0.986878562,0.044389225,0.032392257,0.237814923,2.781652679,7.538037102,0.8,63,19,3.527855366,0.301587302,1.027918782,1.05036855,Background,0.926470588,Azilsartan
lumos,Group 16,Caffeic acid,Q08257,CRYZ,0.186366016,6.522376643,3.819948368,3.449324093,0.991817914,0.023257963,0.009582505,0.157316164,1.967371206,5.181200335,0.78,60,19,3.504062883,0.316666667,0.978970268,1.05036855,Background,0.823529412,Caffeic acid
480,Group 35,Candesartan,Q08257,CRYZ,0.325096889,11.95059451,8.292010798,2.667452953,0.99954506,0.006478357,0.012092823,0.294137922,5.989756941,9.773040661,0.68,68,21,4.382239539,0.308823529,1.220095694,1.139927624,Background,0.970588235,Candesartan
lumos,Group 37,Ceftazidime,Q08257,CRYZ,0.182579227,4.885669557,2.249683445,3.534026106,0.979031695,0.004952553,0.03029264,0.125140756,2.553753477,5.059804815,0.74,73,20,4.309711058,0.273972603,1.191080493,1.105651106,Background,0.867647059,Ceftazidime
480,Group 30,Fluorescein,Q08257,CRYZ,0.113207293,4.552129747,1.744594719,3.136086097,0.973281659,0.011362757,0.016327774,0.056874481,1.690507919,2.877349224,0.62,55,19,4.106405101,0.345454545,0.986842105,1.031363088,Background,0.838235294,Fluorescein
480,Group 31,Lornoxicam,Q08257,CRYZ,0.113203621,4.412179798,1.354133568,2.712649702,0.970312575,0.019468027,0.020561734,0.084240296,2.036363014,2.877229743,0.7,57,18,4.221445537,0.315789474,1.022727273,0.97708082,Background,0.867647059,Lornoxicam
480,Group 19,Nedocromil,Q08257,CRYZ,0.180491502,6.155331239,2.489094143,2.496929648,0.989929741,0.021555344,0.021627853,0.152070907,3.172818595,5.067032706,0.52,43,16,4.0883771,0.372093023,0.7715311,0.868516285,Background,0.970588235,Nedocromil
lumos,Group 8,Olmesartan,Q08257,CRYZ,0.238959996,5.96782872,2.695175023,2.86332286,0.988879615,0.015452547,0.030479834,0.187337209,3.422641408,6.867238934,0.7,61,21,4.352066691,0.344262295,0.995286439,1.160933661,Background,0.933823529,Olmesartan
480,Group 10,Olsalazine (Disodium),Q08257,CRYZ,0.116601543,4.895151542,2.157731699,3.323664536,0.979206146,0.005273782,0.021133817,0.093661315,1.664487144,2.987811013,0.68,53,17,3.980902862,0.320754717,0.950956938,0.922798552,Background,0.889705882,Olsalazine
lumos,Group 24,Opicapone,Q08257,CRYZ,0.189603955,6.522766323,3.816048541,3.551815822,0.991821335,0.010623118,0.012826591,0.169573403,1.986588667,5.285001007,0.74,66,18,4.200706895,0.272727273,1.076867295,0.995085995,Background,0.875,Opicapone
lumos,Group 5,Pyrantel (pamoate),Q08257,CRYZ,0.149903115,4.434259425,1.960043161,3.53058386,0.970818824,0.018566184,0.021705851,0.06857209,1.870590971,4.012285934,0.63,64,19,4.147198492,0.296875,1.044234953,1.05036855,Background,0.875,Pyrantel
lumos,Group 3,Raltitrexed,Q08257,CRYZ,0.153576043,5.381225496,2.295815982,2.667452953,0.98460386,0.008436314,0.022435665,0.132547245,2.408565356,4.130031321,0.61,53,17,4.019770356,0.320754717,0.86475707,0.93980344,Background,0.985294118,Raltitrexed
lumos,Group 11,Sodium Picosulfate,Q08257,CRYZ,0.144673866,4.817417961,1.971808576,3.208172527,0.978008935,0.016006322,0.023288968,0.099050962,1.89651902,3.844648592,0.77,68,23,4.288339787,0.338235294,1.109499637,1.271498771,Background,0.889705882,Sodium Picosulfate
480,Group 14,20(S)-Ginsenoside Rg3,P27707,DCK,0.182997805,6.192817134,2.505912864,2.318063335,0.990131556,0.015220251,0.015523281,0.133345875,2.776359406,2.586448764,0.45,23,11,3.61963586,0.47826087,0.952161914,1.037735849,Background,0.941176471,20(S)-Ginsenoside Rg3
480,Group 38,Cepharanthine,P27707,DCK,0.224079152,6.144232202,2.738971241,2.800717078,0.989888694,0.008482255,0.024419503,0.159000706,3.658983042,3.340155604,0.48,19,11,3.686993566,0.578947368,0.786568537,1.037735849,Background,0.933823529,Cepharanthine
480,Group 32,Clevudine,P27707,DCK,0.160706732,4.442102274,1.110466369,2.617000341,0.97096249,0.019276722,0.01722628,0,2.683008024,2.177481286,0.51,27,11,4.037745129,0.407407407,1.11775529,1.037735849,Background,0.845588235,Clevudine
480,Group 32,Cortisone acetate,P27707,DCK,0.177243328,5.435697704,2.036976668,2.681241237,0.985079324,0.005831268,0.01722628,0.138747743,2.891028392,2.48087314,0.51,27,11,4.037745129,0.407407407,1.11775529,1.037735849,Background,0.926470588,Cortisone
480,Group 11,Cytidine,P27707,DCK,0.255403173,6.271510288,2.87513656,2.918030337,0.99054887,0.021549463,0.018900644,0,2.860571883,3.914847808,0.45,27,10,3.858582309,0.37037037,1.11775529,0.943396226,Background,0.911764706,Cytidine
480,Group 34,Drospirenone,P27707,DCK,0.224648053,6.750330035,3.541620015,3.230704314,0.992727795,0.013659026,0.024243055,0.190057384,3.295258553,3.350593056,0.42,25,9,4.0000304,0.36,1.034958602,0.849056604,Background,0.941176471,Drospirenone
lumos,Group 36,Fludrocortisone acetate,P27707,DCK,0.168557431,3.606397705,1.151248184,3.654657755,0.938904586,0.027046687,0.038830306,0.130159793,1.738927327,2.223169569,0.45,23,9,3.719298133,0.391304348,0.930755396,1.088709677,Background,0.808823529,Fludrocortisone acetate
lumos,Group 27,Fosravuconazole (L-lysine ethanolate),P27707,DCK,0.688665971,9.466697657,5.894639667,2.671172843,0.998241809,0.017037018,0.031188857,0.659266605,9.281885814,11.67373834,0.33,20,7,3.24127247,0.35,0.809352518,0.846774194,Background,0.985294118,Fosravuconazole
480,Group 31,Fostamatinib (disodium hexahydrate),P27707,DCK,0.599533674,8.167613866,5.206477649,2.877946952,0.996500722,0.01122417,0.055833197,0.487786917,13.81959367,10.2285044,0.51,26,11,3.797814394,0.423076923,1.076356946,1.037735849,Background,1,Fostamatinib
lumos,Group 2,Ponatinib,P27707,DCK,0.585291466,7.353244411,4.509887032,3.461648568,0.994687801,0.05016615,0.02972731,0.44796097,6.774108718,9.79538451,0.4,33,9,3.675365841,0.272727273,1.335431655,1.088709677,Background,0.977941176,Ponatinib
480,Group 24,Prednisone acetate,P27707,DCK,0.368032693,5.319684047,1.978051712,2.46834733,0.984046301,0.044646201,0.053618116,0.329380854,6.032020443,5.981227005,0.49,30,12,4.064897677,0.4,1.241950322,1.132075472,Background,0.977941176,Prednisone acetate
480,Group 26,Cefsulodin (sodium),Q16698,DECR1,0.236347173,11.40216739,7.741017532,2.285557309,0.999394553,0.004139973,0.007052055,0.196901467,4.356930687,5.66374819,0.52,65,18,4.355514734,0.276923077,1.385599242,1.071428571,Background,0.926470588,Cefsulodin
lumos,Group 37,Ceftazidime,Q16698,DECR1,0.259926793,6.673047027,3.639120906,3.136086097,0.992382314,0.000573557,0.028649709,0.217426151,3.945893483,5.330399171,0.55,58,16,3.991781883,0.275862069,1.054545455,0.970350404,Background,0.963235294,Ceftazidime
lumos,Group 9,Fidaxomicin,Q16698,DECR1,0.752253307,3.486335925,0.586242023,2.754348336,0.93094826,0.235282606,0.048010289,0.472448365,11.9297053,16.8757361,0.54,52,16,3.991848266,0.307692308,0.945454545,0.970350404,Background,0.904411765,Fidaxomicin
480,Group 31,Fostamatinib (disodium hexahydrate),Q16698,DECR1,0.516499367,8.634232416,5.576186185,2.781036939,0.997335349,0.011410946,0.042482197,0.458278599,11.80725612,13.31823299,0.53,45,15,3.95868331,0.333333333,0.959261014,0.892857143,Background,1,Fostamatinib
lumos,Group 18,Isosulfan blue,Q16698,DECR1,0.25089942,6.295887392,2.980069154,2.447158031,0.990678853,0.025606504,0.023925781,0,3.286027918,5.118702129,0.58,60,19,3.570525428,0.316666667,1.090909091,1.152291105,Background,0.904411765,Isosulfan blue
lumos,Group 17,Odevixibat,Q16698,DECR1,0.258789541,7.225536256,3.750301033,2.064457989,0.994304694,0.019535777,0.017884236,0.200044265,3.777666963,5.303729953,0.54,72,18,3.578839695,0.25,1.309090909,1.091644205,Background,0.919117647,Odevixibat
lumos,Group 10,Olsalazine (Disodium),Q16698,DECR1,0.165479586,4.495334192,1.838876623,3.381656483,0.972146019,0.003605799,0.028123005,0.084829322,1.733632718,3.115558405,0.54,65,18,3.588243687,0.276923077,1.181818182,1.091644205,Background,0.852941176,Olsalazine
lumos,Group 2,Pemetrexed,Q16698,DECR1,0.333464958,6.68000391,3.137676527,2.563481085,0.992399417,0.044793992,0.033514646,0.311167887,5.259939596,7.054910976,0.49,43,15,3.851664927,0.348837209,0.781818182,0.909703504,Background,0.985294118,Pemetrexed
lumos,Group 40,Sitaxsentan (sodium),Q16698,DECR1,0.181659398,9.034938457,5.757558482,2.326335861,0.997810813,0.010913569,0.003875965,0.164827212,3.859983542,3.494984204,0.5,55,17,3.71293577,0.309090909,1,1.030997305,Background,0.889705882,Sitaxsentan
480,Group 11,Sodium Picosulfate,Q16698,DECR1,0.149635291,4.311241026,1.391988553,3.287353773,0.967894208,0.032986372,0.016919789,0.101992921,1.71034584,3.294554603,0.57,50,20,4.081628104,0.4,1.065845571,1.19047619,Background,0.830882353,Sodium Picosulfate
480,Group 27,(Z)-Capsaicin,P07099,EPHX1,0.256077436,4.954064875,2.012604632,3.214843848,0.980030512,0.001820054,0.035603932,0.195121636,3.266111908,0.97503366,0.45,51,21,4.207257259,0.411764706,1.774941995,1.418918919,Background,0.816176471,(Z)-Capsaicin
lumos,Group 26,Asunaprevir,P07099,EPHX1,0.75168976,6.276223888,3.037676001,2.717670503,0.990589917,0.054028169,0.07575083,0.654311572,10.50844523,4.920945067,0.24,23,10,3.313656347,0.434782609,0.842833876,0.858778626,Background,0.985294118,Asunaprevir
480,Group 39,Avobenzone,P07099,EPHX1,0.322839602,5.374879706,1.658375543,2.487138375,0.98454571,0.020609508,0.043863335,0,4.767396806,1.462976617,0.48,47,22,3.995966273,0.468085106,1.635730858,1.486486486,Background,0.919117647,Avobenzone
480,Group 20,Belumosudil,P07099,EPHX1,0.758369619,4.116499532,1.432252785,3.090963077,0.962185219,0.077692667,0.156336559,0.313735782,13.35769034,4.646123817,0.31,22,12,3.889186809,0.545454545,0.765661253,0.810810811,Background,0.911764706,Belumosudil
lumos,Group 25,Benznidazol,P07099,EPHX1,0.609704993,5.472869439,1.931801779,2.451786436,0.985370075,0.071334377,0.047148306,0,7.572801322,3.819920524,0.36,27,14,3.386891169,0.518518519,0.989413681,1.202290076,Background,0.911764706,Benznidazol
lumos,Group 45,Clobetasol propionate,P07099,EPHX1,0.47397075,4.399526134,1.414865152,2.980457892,0.970011562,0.028728221,0.101452585,0.367166954,8.361011035,2.767365822,0.45,31,18,3.593800932,0.580645161,1.135993485,1.545801527,Background,0.904411765,Clobetasol propionate
480,Group 12,Desloratadine,P07099,EPHX1,0.725633235,6.501284213,2.808085068,2.247973266,0.991691352,0.07144888,0.069643966,0.42050959,11.08396896,4.406864239,0.25,16,10,3.509907846,0.625,0.556844548,0.675675676,Background,0.933823529,Desloratadine
480,Group 29,Diltiazem (hydrochloride),P07099,EPHX1,0.47691698,3.862843818,0.969332519,3.018700499,0.952614368,0.089828219,0.094372811,0.109014513,6.405287277,2.589078041,0.42,37,18,3.911660885,0.486486486,1.287703016,1.216216216,Background,0.867647059,Diltiazem
480,Group 39,Dipyridamole,P07099,EPHX1,0.383870894,5.656375879,2.35847236,2.806179974,0.986779364,0.023019778,0.043863335,0.080905551,6.40973759,1.909034473,0.48,47,22,3.995966273,0.468085106,1.635730858,1.486486486,Background,0.941176471,Dipyridamole
lumos,Group 26,Escin,P07099,EPHX1,0.720252683,6.618957312,3.380409425,2.940516485,0.992177078,0.03563565,0.07575083,0.637539948,9.548184245,4.677165444,0.24,23,10,3.313656347,0.434782609,0.842833876,0.858778626,Background,0.985294118,Escin
480,Group 39,Estriol,P07099,EPHX1,0.361968951,5.559122167,1.959123169,2.380211242,0.986115767,0.022885355,0.043863335,0.085920164,6.347347389,1.748960293,0.48,47,22,3.995966273,0.468085106,1.635730858,1.486486486,Background,0.941176471,Estriol
480,Group 49,Flunarizine (dihydrochloride),P07099,EPHX1,0.734131372,5.526720182,2.335896094,2.675778342,0.985825016,0.106143081,0.101439691,0.653597824,13.86133864,4.468974353,0.24,20,13,3.822877153,0.65,0.696055684,0.878378378,Background,0.933823529,Flunarizine
480,Group 11,Fluticasone (propionate),P07099,EPHX1,0.638287399,4.750685801,1.658187663,3.02201574,0.976934865,0.116182886,0.081015105,0.460743671,9.024109835,3.768481938,0.23,12,11,3.563243701,0.916666667,0.417633411,0.743243243,Background,0.823529412,Fluticasone
lumos,Group 16,Halcinonide,P07099,EPHX1,1.152411999,10.31586374,7.2626572,2.975431809,0.998871201,0.024114744,0.060426768,0.988001306,16.27594617,8.028356031,0.23,14,8,2.83225337,0.571428571,0.513029316,0.687022901,Background,0.904411765,Halcinonide
480,Group 34,Manidipine (dihydrochloride),P07099,EPHX1,0.613963697,7.082402428,3.396571154,2.152288344,0.993846333,0.036468583,0.062859391,0.523980621,14.68848661,3.590707912,0.39,37,16,4.084536957,0.432432432,1.287703016,1.081081081,Background,0.985294118,Manidipine
480,Group 21,Milnacipran (hydrochloride),P07099,EPHX1,0.182207533,3.988673732,1.133815324,2.942504106,0.957854734,0.025877137,0.025099573,0.108750657,3.213827545,0.435142573,0.37,31,14,3.586328451,0.451612903,1.078886311,0.945945946,Background,0.816176471,Milnacipran
lumos,Group 25,Nefazodone (hydrochloride),P07099,EPHX1,0.650010219,5.081799914,1.533902197,2.472756449,0.981569784,0.095137266,0.047148306,0,7.65197288,4.132468435,0.36,27,14,3.386891169,0.518518519,0.989413681,1.202290076,Background,0.904411765,Nefazodone
480,Group 12,Nitrendipine,P07099,EPHX1,0.708980593,6.27239243,2.60045894,2.421603927,0.990555711,0.077316411,0.069643966,0.402887629,12.74702912,4.285155494,0.25,16,10,3.509907846,0.625,0.556844548,0.675675676,Background,0.926470588,Nitrendipine
480,Group 35,Paroxetine (hydrochloride),P07099,EPHX1,0.374194417,5.124771474,1.767217754,2.397940009,0.982106819,0.022869286,0.059682797,0.181150046,7.168322186,1.83831225,0.24,22,11,3.89058308,0.5,0.765661253,0.743243243,Background,0.867647059,Paroxetine
lumos,Group 30,Peficitinib,P07099,EPHX1,0.301022196,4.98850836,2.074434426,3.131939295,0.980437564,0.033906621,0.045060597,0.21348793,4.556572843,1.42623179,0.35,48,14,3.707046152,0.291666667,1.758957655,1.202290076,Background,0.882352941,Peficitinib
480,Group 35,Pexidartinib (hydrochloride),P07099,EPHX1,0.751511334,6.7098006,3.051216885,2.309630167,0.992567027,0.047330427,0.059682797,0.491232044,14.18616552,4.595998841,0.24,22,11,3.89058308,0.5,0.765661253,0.743243243,Background,0.992647059,Pexidartinib
lumos,Group 42,Pyrazinamide,P07099,EPHX1,0.410585025,3.289476193,0.538637327,2.959041392,0.913828135,0.121525484,0.027814537,0,8.446064822,2.275839577,0.52,56,18,3.639327086,0.321428571,2.052117264,1.545801527,Background,0.816176471,Pyrazinamide
lumos,Group 10,Rifapentine,P07099,EPHX1,0.460406666,3.169313069,0.809728268,3.650307523,0.901161637,0.049060552,0.129530308,0.329230742,6.585367766,2.662182787,0.24,22,11,3.394346597,0.5,0.806188925,0.944656489,Background,0.823529412,Rifapentine
lumos,Group 29,Sitagliptin (phosphate monohydrate),P07099,EPHX1,0.566406157,4.740329709,1.752532749,3.082426301,0.976756993,0.032197859,0.104114088,0.365500536,7.097553592,3.484158574,0.43,54,19,3.597717119,0.351851852,1.978827362,1.631679389,Background,0.941176471,Sitagliptin
lumos,Group 22,Tivozanib,P07099,EPHX1,0.766681881,6.460918756,2.877719982,2.645422269,0.991489536,0.066276067,0.086427466,0.567111924,10.99914408,5.037201856,0.28,18,11,3.203862044,0.611111111,0.659609121,0.944656489,Background,0.941176471,Tivozanib
480,Group 43,Vortioxetine (hydrobromide),P07099,EPHX1,0.368003382,4.827066579,2.124364682,3.35945602,0.978162862,0.011620291,0.057470358,0.140832286,7.716266936,1.793063992,0.55,49,23,4.081655094,0.469387755,1.705336427,1.554054054,Background,0.911764706,Vortioxetine
480,Group 12,Alfuzosin,P22830,FECH,0.456998274,3.473065891,0.734109255,3.312177356,0.929894714,0.081906835,0.03509149,0.034390418,7.316442025,3.755867993,0.55,30,19,3.848801625,0.633333333,1.442307692,1.456558773,Background,0.830882353,Alfuzosin
480,Group 15,Baicalein,P22830,FECH,0.384572541,8.620400586,5.78227142,3.662001879,0.997301143,0.009398153,0.023122089,0.344472875,4.558571048,3.045180956,0.5,32,17,3.809633774,0.53125,1.538461538,1.303236797,Background,0.963235294,Baicalein
480,Group 20,Belumosudil,P22830,FECH,0.3968447,11.26579076,7.627301504,2.136720567,0.999356926,0.009006578,0.018664689,0.383275578,6.641769021,3.16560313,0.43,24,14,3.965958586,0.583333333,1.153846154,1.073253833,Background,0.963235294,Belumosudil
480,Group 7,Berberine (chloride hydrate),P22830,FECH,0.482288871,11.68093545,7.981531367,2.53529412,0.999452703,0.009119045,0.021337256,0.461005278,8.07182102,4.004035305,0.38,21,13,3.438700533,0.619047619,1.009615385,0.996592845,Background,0.977941176,Berberine
480,Group 9,Doxazosin (mesylate),P22830,FECH,0.641497776,6.460928593,2.752762735,2.777426822,0.991492957,0.055205325,0.066799046,0.41110027,9.78481016,5.566293633,0.25,13,8,3.596624582,0.615384615,0.625,0.613287905,Background,0.933823529,Doxazosin
lumos,Group 38,Epirubicin (hydrochloride),P22830,FECH,0.271078816,6.757061141,3.156088245,2.599883072,0.992758581,0.00389741,0.024281245,0.186624076,4.256047744,1.492026989,0.24,14,9,3.214751153,0.642857143,0.872576177,0.931034483,Background,0.867647059,Epirubicin
480,Group 17,Erdafitinib,P22830,FECH,0.536154014,11.11244281,7.422956358,2.250420002,0.999288514,0.015848575,0.025334287,0.518593786,12.08713265,4.532594109,0.26,10,8,3.762656061,0.8,0.480769231,0.613287905,Background,0.867647059,Erdafitinib
480,Group 31,Fostamatinib (disodium hexahydrate),P22830,FECH,0.36395467,7.030610497,4.148655526,2.957128198,0.993668461,0.01122896,0.038474167,0.289373146,8.110333312,2.842865386,0.34,24,13,3.874040921,0.541666667,1.153846154,0.996592845,Background,0.985294118,Fostamatinib
lumos,Group 28,Glafenine (hydrochloride),P22830,FECH,0.972899806,8.074889329,4.797394719,2.614897216,0.996292065,0.019784482,0.101108257,0.720205342,15.38497721,7.232083148,0.35,41,12,3.566720251,0.292682927,2.555401662,1.24137931,Background,0.963235294,Glafenine
lumos,Group 8,Grazoprevir hydrate,P22830,FECH,0.370388984,3.543048366,1.29636619,3.863798539,0.934864852,0.102786689,0.037445216,0.079631023,5.762094489,2.304265362,0.37,26,12,3.63311987,0.461538462,1.620498615,1.24137931,Background,0.823529412,Grazoprevir hydrate
480,Group 43,Idarubicin (hydrochloride),P22830,FECH,0.241383361,7.673340603,3.975414159,2.190331698,0.995457437,0.00459089,0.022257382,0.235099174,5.315664998,1.640118291,0.42,28,14,3.860364962,0.5,1.346153846,1.073253833,Background,0.911764706,Idarubicin
lumos,Group 38,Istradefylline,P22830,FECH,0.332753093,6.395408855,2.794435959,2.382017043,0.991178261,0.0335411,0.024281245,0.272163712,6.105000922,1.996448794,0.24,14,9,3.214751153,0.642857143,0.872576177,0.931034483,Background,0.941176471,Istradefylline
lumos,Group 27,Nitroxoline,P22830,FECH,0.825380228,4.608947079,2.036889089,3.550228353,0.974342047,0.108110813,0.149758747,0.430937224,10.5409033,6.025549465,0.44,37,14,3.345481556,0.378378378,2.306094183,1.448275862,Background,0.941176471,Nitroxoline
lumos,Group 24,Opicapone,P22830,FECH,0.590031741,10.11263836,7.162882528,3.308777774,0.998761741,0.045683923,0.019310655,0.56629758,8.012615341,4.100680373,0.49,24,16,3.712611825,0.666666667,1.495844875,1.655172414,Background,0.985294118,Opicapone
lumos,Group 8,Osimertinib,P22830,FECH,0.530378323,5.06876459,2.097140888,3.34321159,0.981381651,0.022108741,0.081130688,0.30182044,7.543846052,3.612786775,0.37,26,12,3.63311987,0.461538462,1.620498615,1.24137931,Background,0.970588235,Osimertinib
lumos,Group 27,Pimobendan,P22830,FECH,0.627429305,3.176938648,0.741043815,3.37401474,0.90202363,0.198731334,0.100959449,0.181146417,10.24744537,4.406547713,0.44,37,14,3.345481556,0.378378378,2.306094183,1.448275862,Background,0.816176471,Pimobendan
480,Group 5,Pyrantel (pamoate),P22830,FECH,0.361522708,3.609974002,1.296473585,3.778368343,0.939161131,0.080111974,0.057051541,0.170764791,4.242448996,2.819001438,0.46,35,18,3.857627957,0.514285714,1.682692308,1.379897785,Background,0.808823529,Pyrantel
480,Group 40,Rotundine,P22830,FECH,0.274757432,5.702538513,2.334344635,2.394451681,0.987118004,0.032552236,0.019568941,0.189745212,6.546169459,1.967605756,0.4,26,14,3.880001388,0.538461538,1.25,1.073253833,Background,0.941176471,Rotundine
lumos,Group 18,Tegaserod (maleate),P22830,FECH,0.390401302,4.220981006,1.273669845,3.186391216,0.965510046,0.049118797,0.07534749,0.271726797,5.02372559,2.467942186,0.37,19,12,3.262937322,0.631578947,1.184210526,1.24137931,Background,0.897058824,Tegaserod
lumos,Group 16,Tetrahydropalmatine,P22830,FECH,0.286816863,5.100745495,1.8714477,2.820857989,0.981809226,0.041515876,0.036693309,0.186796402,4.264270574,1.620745385,0.32,12,11,2.919601024,0.916666667,0.747922438,1.137931034,Background,0.838235294,Tetrahydropalmatine
